id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
SNRPD2,0.22228,0.47256,1,8215,-0.38765,4,HGLibB_45924;HGLibA_45980;HGLibB_45922;HGLibB_45923;,-0.64987;-0.93309;-0.64136;-0.13394;
MTHFS,0.088901,0.26142,1,4591,-0.38763,4,HGLibB_30350;HGLibB_30348;HGLibA_30392;HGLibA_30391;,-0.81256;-1.7835;-0.38763;-0.12419;
SALL4,0.058185,0.22847,1,3342,-0.38757,4,HGLibA_42657;HGLibB_42603;HGLibA_42655;HGLibA_42656;,-1.2873;-0.38497;-0.39018;-0.55305;
GOLGA2,0.0071684,0.064672,1,663,-0.38744,5,HGLibA_19595;HGLibB_19567;HGLibB_19569;HGLibA_19594;HGLibA_19596;,-1.4853;-1.7901;-0.42852;-0.34636;-0.012983;
SIRT1,0.027605,0.14721,1,1901,-0.3874,4,HGLibA_44217;HGLibA_44215;HGLibB_44164;HGLibB_44163;,-1.7692;-0.44602;-0.32878;-0.50763;
C9orf37,0.011258,0.081152,1,941,-0.38711,4,HGLibA_06724;HGLibB_06720;HGLibA_06726;HGLibA_06725;,-1.0518;-0.39001;-0.797;-0.38422;
CRYAB,0.050984,0.2153,1,3041,-0.38698,4,HGLibB_11236;HGLibA_11249;HGLibB_11237;HGLibA_11248;,-2.0347;-0.88194;-0.44014;-0.33382;
ALS2,0.18911,0.43425,1,7411,-0.38682,5,HGLibB_01717;HGLibA_01718;HGLibB_01715;HGLibA_01719;HGLibA_01717;,-1.564;-0.50153;-0.39547;-0.37818;-0.06031;
GNAZ,0.036732,0.17879,1,2361,-0.38671,4,HGLibA_19482;HGLibA_19481;HGLibB_19456;HGLibB_19455;,-1.1726;-0.481;-0.68809;-0.29241;
hsa-mir-2114,0.072747,0.21513,1,3958,-0.38667,3,HGLibA_58228;HGLibA_58229;HGLibA_58227;,-0.41731;-0.79955;-0.35604;
hsa-mir-1278,0.09547,0.21216,1,4845,-0.38667,2,HGLibA_57567;HGLibA_57566;,-1.1291;-0.38667;
SMAD3,0.015351,0.10692,1,1187,-0.38662,4,HGLibB_45519;HGLibA_45575;HGLibB_45520;HGLibA_45574;,-1.5852;-0.72984;-0.34703;-0.42621;
C10orf90,0.056461,0.22498,1,3273,-0.38648,4,HGLibA_05104;HGLibB_05099;HGLibA_05102;HGLibB_05098;,-1.0184;-0.29646;-0.47649;-0.71275;
RASL12,0.061575,0.23406,1,3492,-0.38646,4,HGLibB_40321;HGLibA_40372;HGLibA_40371;HGLibA_40370;,-0.68008;-0.70424;-0.48859;-0.28433;
SRSF3,0.10667,0.32036,1,5281,-0.38645,5,HGLibA_47074;HGLibA_47076;HGLibA_47075;HGLibB_47019;HGLibB_47018;,-0.88032;-0.82996;-0.54017;-0.23273;-0.0066927;
SLAMF9,0.096761,0.30262,1,4903,-0.38643,5,HGLibB_44272;HGLibA_44323;HGLibB_44270;HGLibA_44324;HGLibB_44271;,-0.76708;-0.74906;-0.42592;-0.34693;-0.0062282;
DPM3,0.11906,0.3465,1,5685,-0.38608,5,HGLibA_13864;HGLibB_13841;HGLibA_13863;HGLibB_13842;HGLibB_13843;,-1.5878;-0.74033;-0.62596;-0.1462;-0.14118;
ZNF684,0.10381,0.31798,1,5182,-0.38594,4,HGLibB_56470;HGLibA_56535;HGLibB_56468;HGLibB_56469;,-0.40777;-0.53761;-0.43761;-0.3641;
FOXRED1,0.18391,0.42841,1,7278,-0.38576,4,HGLibB_17928;HGLibA_17952;HGLibA_17950;HGLibB_17927;,-0.87199;-1.2931;-0.72901;-0.042507;
NCKIPSD,0.032909,0.17436,1,2170,-0.38567,4,HGLibA_31322;HGLibB_31282;HGLibB_31280;HGLibA_31323;,-1.0377;-1.0189;-0.44698;-0.32437;
TMEM5,0.087941,0.28769,1,4547,-0.38549,4,HGLibA_50419;HGLibB_50359;HGLibB_50360;HGLibA_50420;,-0.64081;-0.48879;-0.28514;-0.48585;
SERBP1,0.032665,0.17403,1,2153,-0.3854,5,HGLibB_43413;HGLibB_43414;HGLibB_43412;HGLibA_43466;HGLibA_43465;,-1.3706;-0.57162;-0.29738;-0.47342;-0.045551;
SNX33,0.067088,0.24252,1,3734,-0.38539,5,HGLibB_46037;HGLibA_46094;HGLibB_46036;HGLibB_46038;HGLibA_46092;,-1.0567;-2.2122;-0.39984;-0.37094;-0.00090302;
