id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
ZNF689,0.16884,0.37981,1,7306,0.095179,3,HGLibB_56477;HGLibA_56545;HGLibA_56546;,-0.47828;-2.3109;-0.21626;
PIBF1,0.16886,0.37981,1,7307,0.77625,2,HGLibA_36520;HGLibB_36472;,-0.8747;-0.039105;
CTSV,0.16894,0.32106,1,7308,-0.069967,2,HGLibA_11731;HGLibB_11720;,-0.73531;-0.36932;
ADCY7,0.16899,0.37981,1,7309,-0.13164,3,HGLibA_00927;HGLibA_00926;HGLibB_00925;,-1.4629;-0.62019;-0.29272;
FTSJ2,0.16904,0.37981,1,7310,0.0048612,3,HGLibB_18113;HGLibA_18137;HGLibB_18112;,-0.8798;-0.70146;-0.23801;
STARD10,0.16906,0.37981,1,7311,-0.069714,4,HGLibB_47293;HGLibB_47294;HGLibA_47350;HGLibB_47295;,-0.62275;-0.57317;-0.072716;-0.066711;
KRTAP10-8,0.16912,0.37981,1,7312,0.45932,2,HGLibB_25586;HGLibB_25584;,-0.95437;-0.42965;
MRPL13,0.16914,0.37981,1,7313,-0.24265,3,HGLibB_29859;HGLibA_29900;HGLibA_29901;,-2.295;-0.71391;-0.51087;
hsa-mir-4271,0.16916,0.32106,1,7314,-0.14711,3,HGLibA_59792;HGLibA_59790;HGLibA_59791;,-1.2635;-0.23053;-0.063694;
RQCD1,0.16921,0.37981,1,7315,-0.13972,4,HGLibB_42164;HGLibB_42165;HGLibB_42166;HGLibA_42217;,-0.6748;-1.0933;-0.17257;-0.10687;
RBMY1F,0.16924,0.26056,1,7316,-0.40263,1,HGLibA_40623;,-1.8394;
FRMD6,0.16925,0.37981,1,7317,0.27283,1,HGLibB_18000;,-0.70735;
CARM1,0.16929,0.37981,1,7318,-0.40428,5,HGLibB_07248;HGLibA_07254;HGLibA_07253;HGLibA_07252;HGLibB_07247;,-0.6159;-0.54133;-0.33429;-0.47427;-0.084879;
hsa-mir-642b,0.16939,0.16489,1,7319,-0.65736,1,HGLibA_62813;,-0.65736;
TAS2R16,0.16943,0.37981,1,7320,-0.26517,4,HGLibA_48374;HGLibB_48315;HGLibA_48376;HGLibB_48316;,-0.88478;-0.45621;-0.41471;-0.11564;
C16orf74,0.16946,0.37981,1,7321,-0.36302,4,HGLibB_05477;HGLibA_05479;HGLibA_05481;HGLibA_05480;,-0.96275;-0.65761;-0.69961;-0.068427;
COX5B,0.16954,0.37981,1,7322,-0.17676,3,HGLibA_10840;HGLibA_10839;HGLibA_10838;,-1.1042;-2.6677;-0.37362;
hsa-mir-331,0.16955,0.32171,1,7323,-0.21447,2,HGLibA_58993;HGLibA_58991;,-1.3242;-0.60568;
BEST1,0.16958,0.37981,1,7324,0.11487,3,HGLibA_04420;HGLibB_04416;HGLibB_04418;,-2.7314;-0.63858;-0.13123;
hsa-mir-3683,0.16958,0.32171,1,7325,0.0017541,2,HGLibA_59285;HGLibA_59286;,-1.105;-0.60888;
ATG3,0.16959,0.37981,1,7326,0.38964,2,HGLibA_03486;HGLibA_03484;,-0.86508;-0.0055877;
TMPRSS6,0.16963,0.37981,1,7327,-0.25707,4,HGLibA_50648;HGLibB_50587;HGLibA_50649;HGLibA_50647;,-1.0119;-0.22783;-0.98836;-0.28632;
DLGAP5,0.16964,0.37981,1,7328,-0.069687,3,HGLibA_13352;HGLibB_13332;HGLibB_13333;,-1.372;-0.23906;-0.82477;
IGF1,0.16964,0.37981,1,7329,-0.36236,5,HGLibB_22760;HGLibA_22790;HGLibB_22759;HGLibA_22792;HGLibB_22761;,-0.53894;-1.0472;-1.5454;-0.18578;-0.035484;
SLC25A17,0.16967,0.37981,1,7330,0.0096056,3,HGLibA_44657;HGLibB_44604;HGLibB_44603;,-0.70803;-0.70864;-0.15639;
hsa-mir-556,0.16967,0.26749,1,7331,-0.35052,2,HGLibA_62141;HGLibA_62139;,-0.79824;-0.35052;
CALML6,0.16968,0.37981,1,7332,0.11104,3,HGLibB_07035;HGLibA_07039;HGLibB_07036;,-0.85254;-0.53953;-0.062553;
FGF20,0.16971,0.37981,1,7333,-0.094335,4,HGLibA_17394;HGLibA_17393;HGLibB_17369;HGLibA_17392;,-0.93504;-1.0138;-0.16344;-0.025235;
GAMT,0.16972,0.37981,1,7334,-0.036825,3,HGLibB_18573;HGLibA_18600;HGLibB_18575;,-1.3485;-1.1947;-0.24666;
TNPO3,0.16985,0.37981,1,7335,0.018089,3,HGLibA_50903;HGLibB_50842;HGLibB_50843;,-1.3077;-0.27998;-0.10294;
C18orf54,0.16985,0.37981,1,7336,0.22049,2,HGLibB_05614;HGLibA_05618;,-0.76949;-2.0155;
EMR3,0.16989,0.37981,1,7337,0.071239,2,HGLibB_15066;HGLibA_15089;,-0.9823;-0.49396;
LMO3,0.16991,0.37981,1,7338,0.24952,3,HGLibA_26709;HGLibB_26670;HGLibB_26669;,-1.1081;-0.61726;-0.038211;
CYTL1,0.16997,0.37981,1,7339,0.15,3,HGLibB_12237;HGLibB_12236;HGLibA_12249;,-0.79454;-0.50643;-0.66983;
SNRNP200,0.16998,0.37981,1,7340,0.2045,3,HGLibA_45942;HGLibA_45940;HGLibB_45886;,-1.0487;-1.3903;-0.23853;
C12orf75,0.17002,0.37981,1,7341,-0.3196,6,HGLibA_05298;HGLibA_05297;HGLibB_05292;HGLibB_05293;HGLibB_05294;HGLibA_05296;,-1.9075;-0.78068;-0.34347;-0.29574;-0.11088;-0.03232;
hsa-mir-20b,0.17009,0.32236,1,7342,-0.28216,3,HGLibA_58205;HGLibA_58203;HGLibA_58204;,-0.77399;-0.16313;-0.4012;
CRTAP,0.17011,0.37981,1,7343,-0.31294,4,HGLibA_11225;HGLibA_11226;HGLibB_11214;HGLibA_11224;,-1.2661;-0.46573;-0.35262;-0.27326;
ZNF222,0.17011,0.37981,1,7344,0.071985,3,HGLibA_55612;HGLibB_55545;HGLibB_55546;,-1.6273;-0.41279;-0.01202;
EEF1B2,0.17013,0.37981,1,7345,-0.19094,3,HGLibB_14475;HGLibA_14497;HGLibB_14473;,-0.52124;-1.34;-0.48167;
TRPC4,0.17016,0.37981,1,7346,-0.15817,4,HGLibB_51670;HGLibA_51734;HGLibB_51669;HGLibA_51735;,-1.0164;-0.98325;-0.24232;-0.074031;
hsa-mir-4453,0.17016,0.32236,1,7347,0.24447,2,HGLibA_60220;HGLibA_60218;,-0.61213;-0.67524;
COPG1,0.17017,0.37981,1,7348,0.23462,2,HGLibB_10693;HGLibB_10692;,-0.68457;-0.43546;
SLC17A6,0.17019,0.37981,1,7349,0.35208,2,HGLibA_44474;HGLibB_44420;,-0.86224;-0.1084;
INSM2,0.17021,0.37981,1,7350,0.022678,3,HGLibB_23366;HGLibA_23397;HGLibA_23396;,-1.1763;-0.50123;-0.33326;
