gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
MTRNR2L2,0.0018067,0.0084428,0.906623,200,1.3061,5,HGLibA_30475;HGLibB_30435;HGLibB_30434;HGLibB_30433;HGLibA_30477;,2.1205;1.5;3.4565;0.56471;1.1121;
RAD17,0.0018144,0.0084825,0.906623,201,0.84837,6,HGLibB_40005;HGLibB_40006;HGLibA_40056;HGLibB_40007;HGLibA_40058;HGLibA_40057;,1.8275;1.0769;1.2753;0.61981;0.20259;0.022567;
FAM98B,0.0018545,0.0088914,0.919797,205,0.92324,5,HGLibA_16813;HGLibB_16790;HGLibA_16811;HGLibA_16812;HGLibB_16789;,1.1269;1.0645;0.78195;1.4299;0.50968;
METTL14,0.0018821,0.0090009,0.919797,209,0.75623,4,HGLibB_28918;HGLibB_28917;HGLibB_28916;HGLibA_28959;,0.94328;0.56917;1.5117;0.99698;
SUN3,0.0018828,0.0090009,0.919797,210,0.76427,4,HGLibA_47793;HGLibA_47795;HGLibA_47794;HGLibB_47738;,1.5266;0.73307;0.79547;0.90578;
MFAP2,0.0018832,0.0090009,0.919797,211,0.97715,5,HGLibA_29042;HGLibA_29043;HGLibB_29001;HGLibA_29041;HGLibB_29000;,1.5344;1.4113;1.1651;0.78922;0.45186;
MAOA,0.0018855,0.0090342,0.919797,212,0.77077,4,HGLibA_28105;HGLibA_28106;HGLibB_28066;HGLibA_28107;,2.4478;1.8376;0.76614;0.77541;
IL17RC,0.0019141,0.0093536,0.920091,213,1.1356,5,HGLibA_23009;HGLibB_22980;HGLibB_22978;HGLibA_23010;HGLibB_22979;,2.6438;1.4484;0.51327;1.3735;0.89766;
OR13C9,0.0019551,0.0095074,0.920091,216,1.0093,5,HGLibB_33565;HGLibB_33567;HGLibA_33611;HGLibA_33610;HGLibA_33612;,1.2039;0.55083;1.3447;0.8148;1.5774;
GABRG1,0.0019555,0.0095074,0.920091,217,0.84776,4,HGLibB_18365;HGLibA_18388;HGLibA_18390;HGLibA_18389;,2.2976;1.2926;1.1307;0.56481;
ROS1,0.0019703,0.0096156,0.920091,218,0.85064,6,HGLibA_41784;HGLibA_41785;HGLibA_41783;HGLibB_41731;HGLibB_41733;HGLibB_41732;,2.2404;1.1857;1.1732;0.52812;0.14397;0.050337;
AURKAIP1,0.0019823,0.0097237,0.920091,220,0.71696,5,HGLibA_03876;HGLibA_03877;HGLibA_03875;HGLibB_03873;HGLibB_03875;,2.4952;0.70791;0.726;0.90567;0.25233;
IDE,0.0019837,0.0097237,0.920091,222,0.9199,5,HGLibA_22536;HGLibB_22505;HGLibB_22504;HGLibA_22535;HGLibA_22537;,2.6834;1.2654;0.57439;0.53651;1.5642;
ZNF214,0.0019933,0.0097579,0.920091,224,0.79652,5,HGLibA_55595;HGLibA_55593;HGLibA_55594;HGLibB_55528;HGLibB_55526;,1.3958;1.1381;1.8037;0.45493;0.079355;
OVCH1,0.0019965,0.0097579,0.920091,225,0.86777,5,HGLibB_34745;HGLibA_34793;HGLibA_34791;HGLibB_34746;HGLibA_34792;,0.93088;1.442;0.80467;0.5651;1.6115;
OR8D2,0.0020012,0.0098446,0.920091,226,0.74752,5,HGLibA_34511;HGLibB_34467;HGLibA_34512;HGLibB_34466;HGLibB_34465;,1.4713;0.84919;0.64585;0.87385;0.0099709;
C17orf75,0.0020362,0.0098807,0.920091,230,0.82761,6,HGLibB_05570;HGLibA_05573;HGLibA_05574;HGLibB_05568;HGLibA_05572;HGLibB_05569;,1.2326;2.0774;2.3339;0.37343;0.42266;0.18883;
GTF2I,0.0020853,0.010114,0.924682,233,1.1308,6,HGLibA_20565;HGLibA_20564;HGLibA_20566;HGLibB_20537;HGLibB_20536;HGLibB_20538;,2.7381;1.6041;1.3769;0.88475;0.22032;0.40413;
